text,label
Ni siquiera pude dormir un rato porque volví a tener anemia por culpa de mi madre.,2
"@user No sé, no lo creo. Acabo de mirar mis fechas.",1
Así que abrí todas las ventanas y conecté mi teléfono a los altavoces para ver si el sonido era mejor.,0
"@user compañero, así que tu crees que mosca es un insulto, yo creo que es un poco falta de respeto a la pobre chica.",2
@usuario hoy tengo libre jajaja el viernes no puedo,1
"@usuario @usuario Ahora, tengo curiosidad por saber cuál era el nombre anterior...",0
"@user Sí, es vergonzoso que se utilice al Gran Escarabajo para sembrar la semilla de la destrucción y la muerte.",2
Ayer tuve un ataque de ansiedad que me devolvió a cuando tenía cinco años y me desperté sola en la cama y empecé a gritar porque no había nadie.,1
Sólo Karlita me entiende y me da buenos consejos.,0
"Ya no tenía libros que leer, ni series que ver, y mis noches se volvieron aburridas.",2
"En este primer día del año, con entusiasmo y optimismo. Todo depende de lo que Dios me tenga preparado. #VamosConFe",1
Pasemos un día lleno de magia y buenos momentos.,0
"Después de unos cuatro días de ermitaño, salir al sol no me ayudó con la fiebre.",2
A pesar de@Usuario,1
"En días como hoy, me alegro de no tener coche. Si tuviera el hígado hinchado de saber todos esos pasos, preferiría coger un Uber, jaja.",0
"Si todo empezó con yaleo y desnudos probablemente no quiera nada serio contigo, respétate y verás que buscan algo serio y bonito ️.",2
"Si les susurras, te recuerdan que mataron al perro de Majin Boo.",1
"@user, gracias, Manuel, por poner mi artículo en tu revista ¡Une grande accolade!",0
"Quiero comer, aunque esté lleno.",2
No sabía que mi amada iba a venir a cantar. Iba a ver el espectáculo.,1
@user y cómo mezclan la realidad con mundos paralelos y se desmarcan de otras películas Marvel.,0
"glowen hace un seguimiento de las cuentas inactivas como si tuvieran que darte más soporte que a tu cuenta, jaja.",2
"Decide amar, aunque duela, aunque parezca imposible, aunque te tiemble el alma, aunque tengas miedo, aunque te hagan daño. El amor puede cambiar",1
 #Visión,0
"Estoy intentando arreglar muchas cosas, pero no consigo arreglar nada de nada, y es muy frustrante.",2
Una caravana aparcada en la playa se ha incendiado y los bomberos la han apagado @... http,1
"#SinPelosEnLaLengua Además, la novia de Luz está buenísima. ¿Qué opinas del @usuario maricon?",0
"Por el momento, creo que hay una ligera diferencia entre los 7 primeros equipos y los 3 últimos. Veremos qué pasa cuando mejoren y/o cambien sus estrategias, etc.",2
"El orificio del diafragma aún no está completamente cerrado, pero la zona ya no es adecuada.",1
"@usuario Que bonito dejaron mendizorroza, pero San mames .... es sin duda uno de los lugares más bonitos del mundo.",0
"Con los payasos, tengo trabajo en grupo para mañana, algunos de los grupos aún no han terminado y sólo puedo terminar en 2 horas como mucho.",2
"@usuario 1000/10 Es tuyo de verdad, qué te voy a decir, petardito, te quiero más que a mí ✨.",0
¿Quién es usted?,2
@user @user Dicen que ahora se muda a San Mateo jaja,1
"@user @user ¿Será sólo digital? ¡¡¡Que bueno!!! Muchas gracias, abrazos desde Costa Rica, ¡Pura vida!",0
"@usuario joder Si te he entendido bien, realmente debes faltar al colegio e ir al centro comercial si quieres kkar",2
Me he decidido: quiero abrir un canal en YouTube. Con qué canción o tema debería empezar?,1
"Diego Luna y Felicity Jones fueron aplaudidos atronadoramente. No puedo esperar a Rogue One, simplemente no puedo esperar.",0
Quedarme sola en casa sonaba como un gran plan de domingo hasta que me di cuenta de que no había caramelos en casa.,2
¡Nicole siempre se burla de los idiotas!,1
"@usuario Por cierto, ha sido un placer conocerte virtualmente, tenemos @usuario en común. Saludos cordiales.",0
@usuario Necesito una ración diaria de atención o no podré mantener mi autoestima.,2
@user @user Esa fue la última vez que fuimos al cine.,1
@usuario pero muy sabroso.,0
"@user @user Es una pena no tener el original como complemento. Para la versión de consola, es gratis en preorder.",2
"Si pudiera cantar bien, cantaría ""Come what may"" de Moulin Rouge.",1
@user ¡Ya está a salvo! Un fuerte abrazo.,0
Han pasado las horas y sigo sin poder ponerme a estudiar ...... El sueño me está atrapando cada vez más.,2
"@User Lo sé, pero yo no miro el formulario de acreditación, sólo miro el portfolio de vez en cuando y estoy emocionada y nerviosa por todo.",1
@usuario elegiste un gran lugar para entrenar.,0
"Creo que voy a poner ""Talking to the Moon"" de Bruno Mars porque soy decadente, y es tan triste que sea",2
@user Yo también vi la película y lloré a moco tendido. ¡Ahora estoy leyendo el libro y riéndome a carcajadas!,1
Envidio de verdad a los que mañana tendrán la oportunidad de ver el partido en el estadio.,0
"#MePasóPorPavazo @user Amigo que guapo eres, mi amiga y yo queremos hacer un trio, y yo todo ganador, Me pepearon @user",2
"@user Si mañana me duermo en la oficina, se lo diré para que se sienta culpable *busca kofal y zapatillas* Buenas noches.",1
"Sin querer, subí el listón y seguí preparando ..... .waooooo este extraordinario mundo del café loveyou️️️",0
"Todos queríamos ver a las dos ticas juntas en la final, pero así son las cosas y ahora le toca a Lei llegar a la final #visslaisaworldjuniors",2
"Sé que llevo todo el día hablando de esto, pero vamos a comer dim sum fresco a algún sitio.",1
Los usuarios no aportan información valiosa,0
"Bueno, yo... No me siento bien. Gracias, Playlist, por hacerme sentir peor.",2
"Estoy trabajando en verano así que no puedo pasar mucho tiempo contigo, pero si vienes avísame y podemos ir juntos a Full-HD @user",1
"No todo es ceniza: hoy he visto a una niña en la Plaza de la Cultura con patines y casco pasándoselo en grande, era muy mona.",0
"@user Es Abel con un resfriado. Eso es lo que hemos estado haciendo juntos. Ja, ja, ja. ¿Cómo es eso?",2
"@user @user Sí, efectivamente es un móvil diferente",1
"Terminar de trabajar, ver la tele y luego ir al cine con los amigos a ver Mascotas.",0
"@user @user Antes de que empieces a insultarme, sólo estoy hablando con la gente normalmente. Deberías ser más educado.",2
¿Nadie me lleva a Taraju?,1
@usuario Menos mal que no dijiste que estabas escuchando 😂😂😂😂😂 #enlacabezaNo #loSiento,0
"Estoy deseando volver a disfrutarlo pronto, hasta ahora lo veo #SiNoEstás4días",2
"#2017 Prometo volver a ponerme en forma, seguir queriendo y respetando a mi @usuario, y ver a @usuario todos los días.",1
"Qué delicia tener una anciana en casa, echo de menos cada aspecto de ella, desde sus llantos, hasta su desorden, pasando por el sabor de sus comidas.",0
"Mae Es cierto, nadie (la mayoría de la gente) busca algo decente hoy en día.",2
"@user Cuando era joven, bailaba descalza en mi pueblo con falda.",1
"@usuario @usuario Claro por eso quería protestar, hay cables chinos muy buenos por ahí. Otra cosa es que te compres el más barato",0
@usuario Sé que mi situación es especialmente difícil.,2
"""¡Nada te hace superar un día duro como un buen bocado!"". #FelizLunes #AtariSS #Donosti http http http http",1
"Lo mejor de @user2016 fue ver crecer a Ivettly y vivir momentos de alegría y tristeza, pero llenos de enseñanzas.",0
"¿Qué necesito para ser un streamer en vivo y conseguir seguidores? -Cámara -Micrófono -Descargar algo decente -Tetas Echo de menos las tetas, ya no puedo hacer esto.",2
@usuario es esencial para ser el mejor.,1
"@user Que tengas un buen día, Caeli.",0
"Después de 15 días de vacaciones, mañana tengo que volver al trabajo. Dónde quedaron los 3 meses de vacaciones de verano cuando era niño? #QueDuroEsSerAdulto",2
"@usuario @usuario @usuario es un término oral, no un análisis.",1
"@user @user @user @user @user ¡Gran programa, pero echamos de menos a Leto!",0
¿Sabe el juez lo que son la honradez y el respeto? ...... No solicitó un contrato de suministro.,2
"@user Ayer, la gente en mi FB hizo mejor que la gente en mi TW TL en el tema del himno nacional ....",1
"Los miércoles está muy bien poder quedarse en casa hasta las 10, que es un lujo para mí.",0
¿Hay algo peor que ir a trabajar sin audífonos? Me estoy muriendo.,2
"@usuario pucha, tengo la pokedex de Perú, solo me falta la zona que sospecho, las conseguiré y esperaré a la leyenda.",1
¡Hoy termina la fiesta más bonita del año! #lastchristmasmode #badadereyes...,0
Pobre tonto. Pensé que me escucharías alguna vez.,2
@user @user Incluso cuando dijo que se casaba con Ash o cuando llevaban yukatas juntos en festivales ayy.,1
"@user dice: ""Ya no tenemos ganas de ir a trabajar"" Eu na ofi lendo o @user, tampouco a teño http",0
,2
"También subiré un registro de cambios en los próximos días, así que prepárate porque todos los cambios llegarán al mismo tiempo.",1
"¡Feliz domingo para ti también @user Fercito, disfruta de tus aventuras esta semana, mis tías te mandan saludos!",0
No juego con mi puta suerte. He tenido demasiada mala suerte como para jugar con ella.,2
"¿Quieres un tuit en directo sobre la carrera y el día? Si veo muchos ""me gusta"" en este tuit, lo publicaré.",1
"@user @user @user @user @user Tengo estos libros, pero aún no los he leído. Pronto llegarán.",0
"Vine a Carabanchel a estudiar, pero la biblioteca estaba cerrada.",2
"Seré breve: quiero yuquitas, para mi trabajo, no están a la venta.",1
"@usuario ¡Enhorabuena! Eres el ganador del sorteo, por favor envíanos un mensaje privado para que podamos enviarte tu premio.",0
"Quiero levantarme a las 6 de la mañana, no a las 5.15 con el sonido de una maldita batidora, gracias a mi primo descerebrado.",2
"Es como un profesor de inglés gratis para mí, mmmmmmmmm #VideoMTV2016 @usuario",1
"Ese fue el final de El Oso el Tigre, y el resto fueron buenos tiempos.",0
"Es que por la noche, me muevo inquieta en mi habitación y en mi escritorio, ya sabes, y vengo al sofá agarrada a mi portátil y a mi ventilador, y es",2
"@usuario Estoy considerando Movistar. son caros, pero tienen una buena oferta para el primer año. Después ya veremos...  @usuario",1
Quiero una buena cámara y saber utilizarla perfectamente.,0
"Si me apunto a 500MB extra cuando ya he usado 3Gb jajaja, no es moco de pavo cuando veo la factura.",2
Casi me duermo en el autobús a Trujillo.,1
"@user, gracias por tu atenta y oportuna bienvenida al curso online. Ha sido un placer trabajar contigo.",0
"Nos guste o no, la vida en la playa nos afecta.  Hace unas semanas que no voy a la playa y la echo de menos.",2
"@user MEMEO AJAJA Bueno, I.... ...sin clase de gimnasia durante 3 años.",1
Estoy muy contento porque acabo de ver que el sabor que yo había transmitido a través de un grupo se ha transmitido a otro.,0
"¡Te echo de menos, hija mía! http",2
"@usuario @usuario @usuario @usuario ... ""Car Fancy"".",1
"Hola @user me encantaría escuchar #UnMinutoSinDolor, el nuevo single promocional de @user en #LaMejorVariedadMusical de @user.",0
Prefiero hablar con Oumpa Loumpa que con un cristiano conservador de derechas.,2
A un paso de dar la vuelta al sol Lov u @ El Tizón,1
Como una pizza. Un buen diálogo. Unos amigos. Una buena noche.,0
"Massimo Bottura está en América. ¡Él está en México y yo estoy aquí, en mi cama, sufriendo! Quiero verlo.",2
"@usuario me enteré de que zafreo y cerveceo son lo mismo, luego me fui.",1
¡Hola amigos de Facebook! Estamos de nuevo disponibles en... . http,0
"Soy la persona más mala del mundo, porque justo hoy, Andrea debe haberme visto con otra mujer, y lo mal que me siento.",2
@user yo pedí una XL por ebay y me queda genial y eso que tengo mucha barriga jaja.,1
"Tengo un examen el día 2, suena como muy lejano, pero la semana que viene es la semana jajaxd",0
No sé qué hacer. Intento hacerlo todo.,2
"@user Jajaja, eso no me enfada. Sólo estoy jugando, aunque sea verdad",1
"@user ¡Muchas gracias, Blanca! La verdad es que este plato es muy sencillo, pero muy sabroso y apetecible.",0
Creo que fue la última vez que entrevisté a Jaime Saavedra como Ministro de Educación. vamos a perder a un gran ministro.,2
@Usuarios @Usuarios es que estoy hablando del correo electrónico de la empresa en su PC.,1
"Pensaba que lo habías creado y compartido aquí espontáneamente, no que tuvieras una cuenta @usuario concreta. Ahora te sigo de nuevo.",0
"Dios, he pecado, pero los bikinis son muy monos y necesito protección solar.",1
Mañana me voy a la playa y espero que el sol ahuyente esta horrible gripe.,0
@usuario Ya es viejo.,2
"No Dennis, no puedes volver a cometer los mismos errores, es hora de cambiar y cometer nuevos.",1
"@user Si pudiera trabajar en Madrid, Buenos Aires o Bogotá, yo también sería muy feliz hihihihihi",0
@¡Bibliografía del usuario! La evidencia en la educación médica,2
@usuario Pero puedes guardar las cosas buenas que te pasan.,1
@usuario Todo lo mejor ciegos murcianos,0
@user ooops Así es. Mátame @usuario,2
"El último día en Elche, tocaba partir hacia Benidorm.",1
"¡@usuario jajaja creo que es improvisado, eh!",0
@usuario pura vida. llamé y es como si no hubiera llamado.,2
"@usuario Mira, parece un cómic un poco más maduro, pero el dibujo lo delata.",1
¡Tenemos una nueva actualización para F1 2016! Un montón de cambios y mejoras http,0
No quiero que Movistar me deje sin internet cuando deje Orange.,2
"@usuario hmmmm no se, aun puedo sentirlos en mi boca.",1
"En la segunda lección de hoy, ya puedo sentir que los ajustes que hago de vez en cuando son muy agradables ...... http",0
Me siento muy débil estos días... ¡¡¡¡¡Espero sentirme mejor pronto!!!!!,2
@usuario ¿Cuál es tu helado y comida favorita? ¿Qué te pareció Costa Rica cuando estuviste allí y dónde estuviste? Hasta pronto @user,1
@user jajaja tenemos gustos diferentes pero así podemos hablar de todo #TonyYSorayaInMalaga,0
@usuario pff... Cada vez está más claro que soy mura rara.,2
@usuario Una gran oportunidad para que disfrutemos (con @usuario) de tu trabajo...,1
No hay nada mejor que ver el estreno de #RogueOne en excelente compañía.,0
"@usuario Sólo puedo guardar TØP y Coldplay, pero no tengo cinco.",2
"Dos meses parecen una eternidad. No sabes cuánto te echo de menos, mi querida abuela.",1
"@user Tiene buena pinta ...... Es una especie de ""cena de rape"".",0
@usuario Porque es primer semestre y tienes miedo de faltar. A ver si este año tienes menos faltas.,2
"¡@usuario Acabo de subir una foto con él, pero es el mismo nombre que mi Twitter manejar!",1
"Me gustaría acostarme pronto y ver un par de episodios de #minorityreport, es la forma perfecta de amenizar la noche.",0
"Como dice @user, se escapa otro verano en un coche blindado @salaBBK #Bilbao #QuiqueGonzález http",2
@user ¡Así es! Todo lo que hace sale del corazón y de la mente.,1
"Bueno, ya tengo la biblioteca instalada, y si no me sobra espacio jajaja En unos años estará llena.",0
Voy a utilizar el dinero que me gasté en Halloween para comprarme una casa nueva y 5.000 dólares en billetes.,2
"Mi hermoso @usuario esta en vivo en ig pero no lo puedo ver y me quiero morir, quiero saludar a @usuarios.",1
El resultado final de @user es muy interesante,0
"Mi vida es una mierda, primero me enamoré de un macedonio en Ibiza y ahora estoy enamorada de los timbales en Panorama.",2
Estoy muy bien. Gracias a todos los que habéis preguntado. La pregunta es: ¿no me han dado cita para hoy? Dijeron que era imposible.,1
Es precioso.,0
"Pero no nos cabe duda de que el TEC seguirá siendo tan masoquista como siempre, forzándonos a salir a toda costa.",2
Miraflores me ha dicho que tienes buenos puntos.,1
Recuerdo escribir a mi hermana @user para motivarme y hacerme sentir útil. Dios me dio la mejor hermana de todas.,0
"@user @user Jaja, por qué es lo peor, los juegos de Ubisoft no son tan malos, es un poco malo que solo vengan de Sony.",2
"@usuario No, porque aún no los has activado todos.",1
"Hay que ser optimista ante la vida. Hay que luchar, hay que ser fuerte en todo.",0
"@user Parecido a Titanic, pero una versión basura, ¿no crees?",2
"¡Hola @usuario, la incidencia del riego ha sido resuelta y esperamos volver a verte pronto!",1
"Hoy he comido chifrijo por primera vez en 20 años jaja. Estaba bueno, pero hubiera estado aún mejor si los chicharrones no tuvieran piel.",0
La madre de @user se suicidó y fue encontrada muerta por Chelo.,2
¡Felicidades a Julian Z en su cumpleaños! ¡Dios te bendiga y abrazos desde Huacho!,1
"Hola @usuario, tu maratón fue todo un éxito, yo participé y sé que darás muchas alegrías a los que sufren.",0
"@usuario Me enamoré de una bruja, dos veces, sólo que no tanto como de un gato.",2
"Espero que todos puedan tener un techo bajo el que dormir, comida y un sueño reparador.",1
"No hay nada más hermoso que recibir el Año Nuevo juntos en familia, y es con corazones agradecidos que alabamos las muchas bendiciones de nuestro amado Dios. #Felicidad2017",0
Siento mucho la noticia del fallecimiento de mi profesor de volumen y escultura.,2
@usuario no estoy lemado,1
@usuario que soy un tío fiel,0
"@usuario Ni siquiera vi Río en directo, sólo las barras asimétricas de Aliya.",2
¡Hola @usuarios! ¿Tenéis alguna pregunta? ¿La visita a la fábrica es gratuita o tengo que pagar algo? ¡Saluda a mis preciosos chicos y chicas!,1
"@user Es muy chulo. Venga, vamos a echar un vistazo.",0
"Sé que soy el peor, pero ho",2
"@user ¡Ya somos dos! Jaja, ¿ahora eres Martin? Oye, yo voy a Lima el próximo mes para la reunión de la U, avísame.",1
"Lo único bueno del incendio de Villava es que está tan cerca del Instituto, que sería una pena que se quemara....",0
El problema con la oferta ahora mismo es que no he llegado a la cantidad mínima que tengo que darle a mi amigo secreto. Y siento que voy a estafarlo.,2
-Amor 1:02:Acabo de ver a mi hermana con su pretendiente -Camila Díaz 1:03:uyyy no exhales es normal jaja -Amor 1:04:Casi lo golpeo,1
"@user era 8º, pero al final de la vuelta ya era 4º.",0
Tan desesperado que incluso inició una cacería humana.,2
"@usuario tengo unos cuantos, pero solo son R",1
@user Esta es una gran manera de darme la bienvenida a casa.,0
Me cago en dios ya no soy adolescente El cumpleaños más triste de mi vida.,2
¿Puede recomendarme una buena silla de juego?,1
"@user Todavía tengo que hablar con la librería, pero a ver si cae el primer libro este mes @user",0
@ Hoy se ha utilizado mucho lenguaje homófobo. @,2
Olvidé algo. Ahora tengo que ir a los Wangs.,1
¡¡¡¡@Users @Users @Users @Users @Users @Users Felicidades!!!! ¡Estamos súper orgullosos de ser tus fans!,0
"Es sólo un mal día, no una mala vida.",2
"Quería arruinarlo todo diciéndoles a mis padres que no iba a pasar la noche en casa de una amiga, sino en la de su nuevo novio.",1
"@usuario ahh ya ya ya ya jajaja. buenas noches, que duermas bien.",0
"@usuario Me encantaría hacerlo yo, pero a menudo me da pereza y me aburro conmigo mismo.",2
"@user Hey, pero estos son los carbohidratos",1
"No soy muy gentil, pero el amor es",0
"@Usuario Hoy te he visto (y me has visto) pero no me has saludado, malote (no te he dicho nada porque estabas conmigo).",2
Mañana estaremos todos acabados. Feliz Navidad a todos #lâcher,1
@user La vida nos lleva por un camino incontrolable jajaja Me alegro que te haya gustado el episodio de hoy.,0
"Mi hombre imposible quiere ir a Europa Yo tenía esperanzas porque sabía que era imposible, pero ahora quiere llevarlo a Europa.",2
"@ Usuarios, pero no es lo mismo",1
"@User, el hecho de que nos mimes con capturas de pantalla de tus actividades ya no es sorprendente. Lo que sorprende es que hayas intervenido.",0
@usuario y tú sois tan sanos,2
"@user @user ¡Vaya! No invitamos a nadie, cada uno empezó a hablar por su cuenta.",1
¡Que me aspen si vamos a morir en esta maldita ola de calor!,2
". Hola @usuario, he enviado un email porque mi usuario está bloqueado. Quisiera pedirte que me ayudes a solucionar este problema. Gracias por tu ayuda.",1
"@usuario Somos conscientes de ello, pero tengo fe en que los ticos seremos solidarios cuando sea necesario.",0
"@user lo siento Juan, sabes que soy hetero.",2
Estoy muy satisfecho con las tareas que me ha encomendado mi jefe y a partir de ahora utilizaré la tecnología digital.,1
Tengo una hora y media en Heredia.,0
Por qué el concurso #SoyJustDancer sólo está abierto a España? @Usuarios,2
@user @user ¡Hola Erin! Debes entrar a través de Instagram para que sea válido.,1
"No sé qué tiene el mundo en contra de la tercera generación. Mi favorita es la primera generación, pero merece la pena.",0
@user @user Mi amigo dice que te jodan .... .K. Hermosa amistad.,2
. Necesito el libro de @user. Y las obras que mencioné pero no encontré. Los buscaré pronto.,1
"¡¡¡¡¡Buenos días, vamos de compras y empecemos el día con energía !!!!!",0
"@usuario otra vez, ¿cómo soportas el calor de Sevilla, mi niña?",2
Viernes. Hace tiempo que no veo a nadie. ¡Aah!,1
"Bien jugado @user, suerte en la final de perdedores, nos vemos en la final. ¡Salud a los lanzadores!",0
"Ahora que estoy en Madrid, apenas puedo hacer fotos chulas de nada que no sea mi cara, ni yo misma.",2
"A las 17.30, cogí un autobús.",1
"@User Pablo de día, Paula de noche Allá voy. Muy divertido.",0
@User @User @User @User Es curioso como declaraciones como esta solo alimentan el odio al feminismo.,2
"Tres cosas que no se me dan bien: 1. cocinar, 2. maquillarme y 3. cantar. Pero me quieren por ello.",1
@user 👍🏻 Incluso mejor sin la caja.  Los días son mucho más largos desde que dejé de ver la tele.,0
"@user @user Lo sé, pobre Uno, lo siento por ti.",2
"@usuario Sígueme, eso es todo lo que tienes que hacer.",1
"@user Este es un gran hilo porque aunque sea un fic, es algo que podría pasar. A Big Brother Vol.02",0
"Acabarán odiándome, como casi todos los padres que me conocen.",2
"En el camino de vuelta, sólo había tres Chelas.",1
Hoy ha sido un día maravilloso. En todos los sentidos de la palabra.,0
@usuario Debió ocurrirme cuando estaba en pijama porque últimamente uso faldas largas. Tengo un gran bulto.,2
"@user igual Diana Feliz Navidad para ti y espero que tu y tu familia la pasen de maravilla y que Dios los bendiga con muchas bendiciones, los queremos.",1
Me gusta el fanart del ciervo.,0
"Mencioné a Sofía de forma amable, y ella me bloqueó a su vez.",2
@usuario Estoy exactamente igual.,1
"@user Gracias, primo. ¡Te saludo! Si puedes venir, estás invitado.",0
Va a ser un día largo...,2
"@user Sí, tengo que ir a verlo. Para ir a la clínica, tengo que cogerme al menos dos días libres en el trabajo porque ni siquiera tengo carné de conducir y no me dan los días.",1
"@usuario Ves, así es como funciona. Ja, ja, ja, ja.",0
"Será mejor que vengas, porque hacerme ilusiones es jodidamente feo.",2
¡Combate comienza en unos minutos! Usa el HT #CbtHastaSiempre y cuéntanos tu programa favorito....,1
"@user Jaja, ya veremos... Un poco de masa es mejor que mucha masa.... Espero encontrarme con alguien a quien quiera.... Abrazos Crack",0
Ha sido un día muy malo para mí.,2
"La Navidad está cada día más cerca, asegurémonos de que todos los niños tienen algo que comer invitándoles a tu casa. Hola ！！！！",1
Hoy me ha funcionado por primera vez.,0
Es triste ver que el trap es famoso por estos artistas y no el verdadero trap.,2
Me alegra ver que mis amigos se divierten #BuenaVibraAlFin,1
,0
"Puto, la PS4 pro está bloqueada (congelada), pensé que era solo yo pero no, ya varios amigos están así.",2
@user Muchaas! también tiene algunas muy buenas. Pero solemos poner las canciones de los 40 principales...,1
"@user Bueno, igual la voy a ver porque la protagonista está buena.",0
"Para sacar buenas notas, mi consejo es ...... Estudia mucho y no vayas a Cangas muy a menudo.",2
Quiero un coche que me permita hacer todo mi trabajo rápido.,1
"@user No, no te preocupes.",0
